Ethnicity,Citizen of Latvia,Non-citizen of Latvia,Alternative status of Latvia,Latvian stateless person,Latvian refugee,Temporary protection of Latvia,Other,Together,Year,Total_Population_Year,Percent_of_Year,Cluster_Category
SALVADORIANS,0,0,0,0,0,0,4,4,2021,2069089,0.0002,Integrated Minorities
SELKUP,0,1,0,0,0,0,0,1,2021,2069089,0.0,Integrated Minorities
SERBIAN,19,2,0,0,0,0,48,69,2021,2069089,0.0033,Integrated Minorities
SINDS,0,0,0,0,0,0,2,2,2021,2069089,0.0001,Integrated Minorities
SINGULAR,1,0,1,0,1,0,29,32,2021,2069089,0.0015,Integrated Minorities
SYRIAN,7,1,212,0,5,0,33,258,2021,2069089,0.0125,Integrated Minorities
SCOT,10,0,0,0,0,0,22,32,2021,2069089,0.0015,Integrated Minorities
SLOVAK,24,10,0,0,0,0,107,141,2021,2069089,0.0068,Integrated Minorities
SLOVENIAN,4,0,0,0,0,0,20,24,2021,2069089,0.0012,Integrated Minorities
FINN,185,74,0,0,0,0,499,758,2021,2069089,0.0366,Integrated Minorities
SPANIARD,19,7,0,0,0,0,396,422,2021,2069089,0.0204,Integrated Minorities
SHORE,1,3,0,0,0,0,1,5,2021,2069089,0.0002,Integrated Minorities
SWISS,13,2,0,0,0,0,98,113,2021,2069089,0.0055,Integrated Minorities
TABASARANS,4,1,0,0,0,0,0,5,2021,2069089,0.0002,Integrated Minorities
TAJIKISTAN,50,26,13,0,12,0,184,285,2021,2069089,0.0138,Integrated Minorities
TALISH,0,0,0,0,0,0,1,1,2021,2069089,0.0,Integrated Minorities
TAMIL,0,0,0,0,0,0,1,1,2021,2069089,0.0,Integrated Minorities
TATAR,820,940,0,0,0,0,551,2311,2021,2069089,0.1117,Integrated Minorities
TATS,9,5,0,0,0,0,1,15,2021,2069089,0.0007,Integrated Minorities
TELEUT,0,1,0,0,0,0,0,1,2021,2069089,0.0,Integrated Minorities
TUNISIAN,2,0,0,0,0,0,9,11,2021,2069089,0.0005,Integrated Minorities
TURKMONTH,18,14,0,0,0,0,72,104,2021,2069089,0.005,Integrated Minorities
TURK,49,3,0,0,22,0,425,499,2021,2069089,0.0241,Integrated Minorities
APPROACHING,1,0,0,0,0,0,1,2,2021,2069089,0.0001,Integrated Minorities
UDMURT,46,132,0,1,0,0,37,216,2021,2069089,0.0104,Integrated Minorities
UDS,8,11,0,0,0,0,8,27,2021,2069089,0.0013,Integrated Minorities
UYGHUR,5,2,0,0,1,0,30,38,2021,2069089,0.0018,Integrated Minorities
UKRAINIAN,18059,20760,1,17,0,0,11368,50205,2021,2069089,2.4264,Integrated Minorities
HUNGARY,134,83,0,0,0,0,93,310,2021,2069089,0.015,Integrated Minorities
URUGUAYAN,0,0,0,0,0,0,4,4,2021,2069089,0.0002,Integrated Minorities
UZBEK,94,106,5,1,2,0,2026,2234,2021,2069089,0.108,Integrated Minorities
WALLOON,1,0,0,0,0,0,6,7,2021,2069089,0.0003,Integrated Minorities
GERMAN,2109,896,0,0,1,0,2285,5291,2021,2069089,0.2557,Integrated Minorities
WELSHMAN,0,0,0,0,0,0,6,6,2021,2069089,0.0003,Integrated Minorities
VENEER,4,0,0,0,0,0,18,22,2021,2069089,0.0011,Integrated Minorities
VEPSS,1,3,0,0,0,0,1,5,2021,2069089,0.0002,Integrated Minorities
VIETNAMESE,7,0,0,0,0,0,443,450,2021,2069089,0.0217,Integrated Minorities
SWEDE,36,4,0,0,0,0,626,666,2021,2069089,0.0322,Integrated Minorities
ABAZ,2,3,0,0,0,1,2,8,2022,2050184,0.0004,Integrated Minorities
ABHAHAZ,12,10,0,0,0,0,8,30,2022,2050184,0.0015,Integrated Minorities
ADIGEAN,2,6,0,0,0,0,4,12,2022,2050184,0.0006,Integrated Minorities
AFGHAN,16,1,18,0,76,0,12,123,2022,2050184,0.006,Split Status Groups
AFRIKANDS,3,0,0,0,0,0,4,7,2022,2050184,0.0003,Integrated Minorities
AGULS,8,6,0,0,0,0,18,32,2022,2050184,0.0016,Integrated Minorities
ALBANON,3,0,0,0,0,0,23,26,2022,2050184,0.0013,Integrated Minorities
ALTAIC,0,3,0,0,1,0,0,4,2022,2050184,0.0002,Integrated Minorities
ALGERIAN,6,0,0,0,0,0,24,30,2022,2050184,0.0015,Integrated Minorities
AMERICAN,85,0,0,0,0,1,452,538,2022,2050184,0.0262,Integrated Minorities
ENGLISHMAN,101,1,0,0,0,0,851,953,2022,2050184,0.0465,Integrated Minorities
ARABIC,12,6,17,0,10,0,25,70,2022,2050184,0.0034,Integrated Minorities
ARGENTINE,3,0,0,0,0,0,23,26,2022,2050184,0.0013,Integrated Minorities
ARMENIAN,1226,615,0,6,0,23,704,2574,2022,2050184,0.1255,Integrated Minorities
ASSYRIAN,6,2,0,0,0,0,6,14,2022,2050184,0.0007,Integrated Minorities
AUSTRALIAN,19,0,0,0,0,0,46,65,2022,2050184,0.0032,Integrated Minorities
AUSTRIAN,7,0,0,0,0,0,135,142,2022,2050184,0.0069,Integrated Minorities
CRASH,34,17,0,1,0,0,21,73,2022,2050184,0.0036,Integrated Minorities
AZERBAIJAN,658,563,1,2,6,9,781,2020,2022,2050184,0.0985,Integrated Minorities
BALKAR,0,2,0,0,0,0,8,10,2022,2050184,0.0005,Integrated Minorities
BELARUS,27477,26481,13,9,76,17,7297,61370,2022,2050184,2.9934,Split Status Groups
BASHKIR,73,72,0,0,0,0,68,213,2022,2050184,0.0104,Integrated Minorities
BALOCHISTAN,0,0,0,0,0,0,1,1,2022,2050184,0.0,Integrated Minorities
BENGAL,6,0,2,0,0,0,9,17,2022,2050184,0.0008,Integrated Minorities
BENINIETIS,3,1,0,0,0,0,1,5,2022,2050184,0.0002,Integrated Minorities
BOLIVIAN,0,0,0,0,0,0,1,1,2022,2050184,0.0,Integrated Minorities
BOSNIAN,1,0,0,0,0,0,4,5,2022,2050184,0.0002,Integrated Minorities
BRAZILIAN,6,0,0,0,0,1,84,91,2022,2050184,0.0044,Integrated Minorities
BULGARIAN,175,99,0,0,0,2,512,788,2022,2050184,0.0384,Integrated Minorities
BURYAT,17,11,0,0,0,0,7,35,2022,2050184,0.0017,Integrated Minorities
CAHURS,3,2,0,1,0,0,3,9,2022,2050184,0.0004,Integrated Minorities
CHECHEN,85,29,2,1,2,0,71,190,2022,2050184,0.0093,Integrated Minorities
CZECH REPUBLIC,56,8,0,0,0,0,160,224,2022,2050184,0.0109,Integrated Minorities
CHURCHES,7,3,0,0,0,0,4,14,2022,2050184,0.0007,Integrated Minorities
GYPSY,6022,261,0,8,2,0,42,6335,2022,2050184,0.309,Integrated Minorities
GYPSY (ROM),337,0,0,2,0,3,7,349,2022,2050184,0.017,Integrated Minorities
CHILEAN,1,0,0,0,0,0,11,12,2022,2050184,0.0006,Integrated Minorities
CHUKCH,0,2,0,0,0,0,0,2,2022,2050184,0.0001,Integrated Minorities
CHUVASH,119,272,0,0,0,1,136,528,2022,2050184,0.0258,Integrated Minorities
DARGINS,15,5,0,0,0,0,4,24,2022,2050184,0.0012,Integrated Minorities
DANE,39,0,0,0,0,0,354,393,2022,2050184,0.0192,Integrated Minorities
DUNGANS,0,0,0,0,0,0,2,2,2022,2050184,0.0001,Integrated Minorities
JEW,5571,1232,0,1,3,6,625,7438,2022,2050184,0.3628,Integrated Minorities
ECUADORIAN,0,0,0,0,0,0,8,8,2022,2050184,0.0004,Integrated Minorities
EVENKS,2,1,0,0,0,0,0,3,2022,2050184,0.0001,Integrated Minorities
EVENS,0,0,0,0,0,0,1,1,2022,2050184,0.0,Integrated Minorities
EGYPTIAN,11,0,0,0,5,0,171,187,2022,2050184,0.0091,Integrated Minorities
FARCE,0,0,0,0,0,0,1,1,2022,2050184,0.0,Integrated Minorities
FLEMISH,2,0,0,0,0,0,14,16,2022,2050184,0.0008,Integrated Minorities
FRENCHMAN,57,0,0,0,0,0,766,823,2022,2050184,0.0401,Integrated Minorities
GAGAUZ,36,33,0,0,0,0,15,84,2022,2050184,0.0041,Integrated Minorities
GREEK,195,57,0,1,0,0,149,402,2022,2050184,0.0196,Integrated Minorities
GEORGIA,532,274,0,2,1,5,514,1328,2022,2050184,0.0648,Integrated Minorities
HAKASIAN,1,2,0,0,0,0,4,7,2022,2050184,0.0003,Integrated Minorities
HANTS,0,4,0,0,0,0,1,5,2022,2050184,0.0002,Integrated Minorities
HINDUSTAN,1,0,0,0,0,0,1,2,2022,2050184,0.0001,Integrated Minorities
DUTCHMAN,22,2,0,0,0,0,178,202,2022,2050184,0.0099,Integrated Minorities
CROATIA,7,4,0,0,0,0,70,81,2022,2050184,0.004,Integrated Minorities
HUTU,0,0,0,0,0,0,1,1,2022,2050184,0.0,Integrated Minorities
ESTONIAN,1133,234,0,0,0,0,645,2012,2022,2050184,0.0981,Integrated Minorities
INDIAN,25,0,0,0,0,1,2218,2244,2022,2050184,0.1095,Integrated Minorities
INGUSH,9,9,0,0,0,0,15,33,2022,2050184,0.0016,Integrated Minorities
IRAQI,1,0,6,0,12,0,39,58,2022,2050184,0.0028,Integrated Minorities
IRAN,4,1,5,1,10,0,83,104,2022,2050184,0.0051,Integrated Minorities
ICELANDIC,7,0,0,0,0,0,34,41,2022,2050184,0.002,Integrated Minorities
ITALIAN,98,1,0,0,0,0,846,945,2022,2050184,0.0461,Integrated Minorities
IZOR,0,1,0,0,0,0,2,3,2022,2050184,0.0001,Integrated Minorities
IRISH,19,0,0,0,0,0,116,135,2022,2050184,0.0066,Integrated Minorities
YAKUTS,10,7,0,0,0,0,20,37,2022,2050184,0.0018,Integrated Minorities
JAPAN,4,0,0,0,0,1,46,51,2022,2050184,0.0025,Integrated Minorities
NEW ZEALANDER,3,0,0,0,0,0,14,17,2022,2050184,0.0008,Integrated Minorities
YEZID,1,0,0,0,0,0,0,1,2022,2050184,0.0,Integrated Minorities
KABARD,9,8,0,0,0,0,8,25,2022,2050184,0.0012,Integrated Minorities
CALMISH,9,6,0,0,0,0,25,40,2022,2050184,0.002,Integrated Minorities
CANUCK,11,0,0,0,0,0,91,102,2022,2050184,0.005,Integrated Minorities
KARAČAYAN,4,2,0,0,0,0,3,9,2022,2050184,0.0004,Integrated Minorities
CHARITY,3,1,0,0,0,0,0,4,2022,2050184,0.0002,Integrated Minorities
KARAKALPAKS,0,0,0,0,0,0,5,5,2022,2050184,0.0002,Integrated Minorities
KAREL,67,77,0,0,0,0,25,169,2022,2050184,0.0082,Integrated Minorities
KAZAKHS,87,73,3,0,1,0,387,551,2022,2050184,0.0269,Integrated Minorities
KYRGYZ,7,6,0,1,2,1,92,109,2022,2050184,0.0053,Integrated Minorities
COLOMBIAN,5,0,0,0,0,0,25,30,2022,2050184,0.0015,Integrated Minorities
COMET,62,96,0,0,0,0,40,198,2022,2050184,0.0097,Integrated Minorities
KOMIET PERMIETIS,17,20,0,0,0,0,8,45,2022,2050184,0.0022,Integrated Minorities
KOREAN,85,42,0,0,0,2,148,277,2022,2050184,0.0135,Integrated Minorities
COSTA RICAN,1,0,0,0,0,0,0,1,2022,2050184,0.0,Integrated Minorities
RUSSIAN,334937,125553,12,90,53,299,42502,503446,2022,2050184,24.5561,Large Historical Minority
CRIMEAN TATAR,3,0,0,0,0,0,8,11,2022,2050184,0.0005,Integrated Minorities
KRIMCHAK,1,0,0,0,0,0,1,2,2022,2050184,0.0001,Integrated Minorities
CUBAN,15,1,0,0,0,0,27,43,2022,2050184,0.0021,Integrated Minorities
COMIC,8,12,0,0,0,0,9,29,2022,2050184,0.0014,Integrated Minorities
KURDISH,4,0,75,0,14,0,15,108,2022,2050184,0.0053,Integrated Minorities
CHINESE,6,2,0,0,0,1,737,746,2022,2050184,0.0364,Integrated Minorities
LAX,20,18,0,0,0,0,6,44,2022,2050184,0.0021,Integrated Minorities
LAOTIAN,1,0,0,0,0,0,0,1,2022,2050184,0.0,Integrated Minorities
LATVIAN,1240055,424,0,1,0,18,1115,1241613,2022,2050184,60.5611,Latvians
LAZS,3,0,0,0,0,0,1,4,2022,2050184,0.0002,Integrated Minorities
LEZGIN,80,105,0,1,0,0,66,252,2022,2050184,0.0123,Integrated Minorities
LEBANESE,32,3,0,0,5,0,55,95,2022,2050184,0.0046,Integrated Minorities
LITHUANIAN,15970,4530,0,2,0,0,3405,23907,2022,2050184,1.1661,Integrated Minorities
LIVONIAN,151,0,0,0,0,0,0,151,2022,2050184,0.0074,Integrated Minorities
LIVONIAN (LIV),19,0,0,0,0,0,1,20,2022,2050184,0.001,Integrated Minorities
LIBYAN ARAB,0,0,0,0,0,0,3,3,2022,2050184,0.0001,Integrated Minorities
LUXEMBOURGISH,0,0,0,0,0,0,6,6,2022,2050184,0.0003,Integrated Minorities
MACEDONIAN,3,0,0,0,0,0,18,21,2022,2050184,0.001,Integrated Minorities
MALAYSIAN,1,0,0,0,0,0,8,9,2022,2050184,0.0004,Integrated Minorities
MALTESE,1,0,0,0,0,0,11,12,2022,2050184,0.0006,Integrated Minorities
MARIETIS,62,109,0,0,0,0,50,221,2022,2050184,0.0108,Integrated Minorities
MOROCCAN,0,0,0,0,0,0,27,27,2022,2050184,0.0013,Integrated Minorities
MEXICAN,9,0,0,0,0,0,44,53,2022,2050184,0.0026,Integrated Minorities
MONTENEGRIN,3,1,0,0,0,0,1,5,2022,2050184,0.0002,Integrated Minorities
MOLDAVIA,664,665,0,1,0,7,499,1836,2022,2050184,0.0896,Integrated Minorities
MONGOLIAN,2,0,0,0,0,0,11,13,2022,2050184,0.0006,Integrated Minorities
MORTAR SITE,129,189,0,0,0,0,102,420,2022,2050184,0.0205,Integrated Minorities
NAGAIBAK,2,0,0,0,0,0,0,2,2022,2050184,0.0001,Integrated Minorities
UNSELECTED,49817,680,33,6,3,270,666,51475,2022,2050184,2.5108,Integrated Minorities
NEPALIAN,1,0,0,0,0,0,52,53,2022,2050184,0.0026,Integrated Minorities
UNKNOWN,1681,53,15,2,8,3735,5939,11433,2022,2050184,0.5577,Integrated Minorities
NIGERIAN,0,0,0,0,0,0,37,37,2022,2050184,0.0018,Integrated Minorities
NOGAAJ,0,3,0,0,0,0,1,4,2022,2050184,0.0002,Integrated Minorities
NORWEGIAN,18,0,0,0,0,0,259,277,2022,2050184,0.0135,Integrated Minorities
NETZ,1,0,0,0,0,0,0,1,2022,2050184,0.0,Integrated Minorities
OSETINE,103,103,0,0,1,0,42,249,2022,2050184,0.0121,Integrated Minorities
PALESTINIAN ARAB,0,0,1,0,0,0,1,2,2022,2050184,0.0001,Integrated Minorities
PANAMANIAN,0,0,0,0,0,0,4,4,2022,2050184,0.0002,Integrated Minorities
PUNJABI,0,0,0,0,0,1,1,2,2022,2050184,0.0001,Integrated Minorities
PERSIAN,0,0,0,0,0,0,1,1,2022,2050184,0.0,Integrated Minorities
PERUVIAN,0,0,0,0,0,0,21,21,2022,2050184,0.001,Integrated Minorities
POLIS,31772,6825,0,3,0,7,1782,40389,2022,2050184,1.97,Integrated Minorities
PORTUGAL,11,0,0,0,0,0,161,172,2022,2050184,0.0084,Integrated Minorities
PUNJAB,0,0,0,0,3,0,1,4,2022,2050184,0.0002,Integrated Minorities
RHETORICAL NOVEL,0,0,0,0,0,0,1,1,2022,2050184,0.0,Integrated Minorities
ROMANIAN,218,216,0,0,0,0,337,771,2022,2050184,0.0376,Integrated Minorities
BALL,0,1,0,0,0,0,1,2,2022,2050184,0.0001,Integrated Minorities
SALVADORIANS,0,0,0,0,0,0,3,3,2022,2050184,0.0001,Integrated Minorities
SELKUP,0,1,0,0,0,0,0,1,2022,2050184,0.0,Integrated Minorities
SERBIAN,19,2,0,0,0,0,42,63,2022,2050184,0.0031,Integrated Minorities
SINDS,0,0,0,0,0,0,2,2,2022,2050184,0.0001,Integrated Minorities
SINGULAR,1,0,1,0,1,0,36,39,2022,2050184,0.0019,Integrated Minorities
SYRIAN,7,1,202,0,5,0,34,249,2022,2050184,0.0121,Integrated Minorities
SCOT,10,0,0,0,0,0,23,33,2022,2050184,0.0016,Integrated Minorities
SLOVAK,24,10,0,0,0,0,101,135,2022,2050184,0.0066,Integrated Minorities
SLOVENIAN,2,0,0,0,0,1,25,28,2022,2050184,0.0014,Integrated Minorities
FINN,185,61,0,0,0,0,510,756,2022,2050184,0.0369,Integrated Minorities
SPANIARD,23,7,0,0,0,0,386,416,2022,2050184,0.0203,Integrated Minorities
SHORE,1,3,0,0,0,0,1,5,2022,2050184,0.0002,Integrated Minorities
SWISS,13,1,0,0,0,0,91,105,2022,2050184,0.0051,Integrated Minorities
TABASARANS,4,1,0,0,0,0,0,5,2022,2050184,0.0002,Integrated Minorities
TAJIKISTAN,50,25,12,0,29,4,269,389,2022,2050184,0.019,Integrated Minorities
TALISH,0,0,0,0,1,0,0,1,2022,2050184,0.0,Integrated Minorities
TAMIL,0,0,0,0,0,0,1,1,2022,2050184,0.0,Integrated Minorities
TATAR,813,840,0,0,0,4,551,2208,2022,2050184,0.1077,Integrated Minorities
TATS,9,5,0,0,0,0,1,15,2022,2050184,0.0007,Integrated Minorities
TELEUT,0,1,0,0,0,0,0,1,2022,2050184,0.0,Integrated Minorities
TUNISIAN,2,0,0,0,0,0,13,15,2022,2050184,0.0007,Integrated Minorities
TURKMONTH,18,10,0,0,0,1,55,84,2022,2050184,0.0041,Integrated Minorities
TURK,49,3,0,0,27,1,556,636,2022,2050184,0.031,Integrated Minorities
APPROACHING,1,0,0,0,0,0,1,2,2022,2050184,0.0001,Integrated Minorities
UDMURT,45,118,0,1,0,0,35,199,2022,2050184,0.0097,Integrated Minorities
UDS,9,11,0,0,0,0,8,28,2022,2050184,0.0014,Integrated Minorities
UYGHUR,5,2,0,0,5,0,33,45,2022,2050184,0.0022,Integrated Minorities
UKRAINIAN,17903,19000,1,16,0,14168,11361,62449,2022,2050184,3.046,Protected Populations
HUNGARY,132,76,0,0,0,1,104,313,2022,2050184,0.0153,Integrated Minorities
URUGUAYAN,0,0,0,0,0,0,4,4,2022,2050184,0.0002,Integrated Minorities
UZBEK,92,98,5,1,4,9,2506,2715,2022,2050184,0.1324,Integrated Minorities
WALLOON,1,0,0,0,0,0,5,6,2022,2050184,0.0003,Integrated Minorities
GERMAN,2072,588,0,0,1,1,2277,4939,2022,2050184,0.2409,Integrated Minorities
WELSHMAN,0,0,0,0,0,0,5,5,2022,2050184,0.0002,Integrated Minorities
VENEER,4,0,0,0,0,0,19,23,2022,2050184,0.0011,Integrated Minorities
VEPSS,1,2,0,0,0,0,1,4,2022,2050184,0.0002,Integrated Minorities
VIETNAMESE,7,0,0,0,0,0,456,463,2022,2050184,0.0226,Integrated Minorities
SWEDE,39,3,0,0,0,0,559,601,2022,2050184,0.0293,Integrated Minorities
ABAZ,2,3,0,0,0,3,3,11,2023,2038755,0.0005,Integrated Minorities
ABHAHAZ,13,9,0,0,0,0,8,30,2023,2038755,0.0015,Integrated Minorities
ADIGEAN,2,5,0,0,0,0,4,11,2023,2038755,0.0005,Integrated Minorities
AFGHAN,14,1,10,0,122,0,14,161,2023,2038755,0.0079,Split Status Groups
AFRIKANDS,3,0,0,0,0,0,4,7,2023,2038755,0.0003,Integrated Minorities
AGULS,9,6,0,0,0,0,17,32,2023,2038755,0.0016,Integrated Minorities
ALBANON,4,0,0,0,0,0,26,30,2023,2038755,0.0015,Integrated Minorities
ALTAIC,0,3,0,0,1,0,0,4,2023,2038755,0.0002,Integrated Minorities
ALGERIAN,5,0,0,0,0,0,29,34,2023,2038755,0.0017,Integrated Minorities
AMERICAN,86,0,0,0,0,2,448,536,2023,2038755,0.0263,Integrated Minorities
ENGLISHMAN,110,1,0,0,0,0,856,967,2023,2038755,0.0474,Integrated Minorities
ARABIC,12,6,17,0,10,0,21,66,2023,2038755,0.0032,Integrated Minorities
ARGENTINE,3,0,0,0,0,0,25,28,2023,2038755,0.0014,Integrated Minorities
ARMENIAN,1216,593,0,5,0,44,682,2540,2023,2038755,0.1246,Integrated Minorities
ASSYRIAN,7,2,0,0,0,0,6,15,2023,2038755,0.0007,Integrated Minorities
AUSTRALIAN,16,0,0,0,0,0,44,60,2023,2038755,0.0029,Integrated Minorities
AUSTRIAN,7,0,0,0,0,0,135,142,2023,2038755,0.007,Integrated Minorities
CRASH,33,17,0,1,0,0,20,71,2023,2038755,0.0035,Integrated Minorities
AZERBAIJAN,654,546,1,2,6,18,813,2040,2023,2038755,0.1001,Integrated Minorities
BALKAR,0,2,0,0,0,0,8,10,2023,2038755,0.0005,Integrated Minorities
BELARUS,27040,25446,14,7,103,41,7098,59749,2023,2038755,2.9307,Split Status Groups
BASHKIR,73,70,0,0,0,0,64,207,2023,2038755,0.0102,Integrated Minorities
BALOCHISTAN,0,0,0,0,0,0,1,1,2023,2038755,0.0,Integrated Minorities
BENGAL,6,0,1,0,0,0,10,17,2023,2038755,0.0008,Integrated Minorities
BENINIETIS,3,1,0,0,0,0,1,5,2023,2038755,0.0002,Integrated Minorities
BOLIVIAN,0,0,0,0,0,0,1,1,2023,2038755,0.0,Integrated Minorities
BOSNIAN,1,0,0,0,0,0,6,7,2023,2038755,0.0003,Integrated Minorities
BRAZILIAN,6,0,0,0,0,1,90,97,2023,2038755,0.0048,Integrated Minorities
BULGARIAN,170,92,0,0,0,6,523,791,2023,2038755,0.0388,Integrated Minorities
BURYAT,15,11,0,0,0,0,7,33,2023,2038755,0.0016,Integrated Minorities
CAHURS,3,2,0,1,0,0,3,9,2023,2038755,0.0004,Integrated Minorities
CHECHEN,84,29,2,1,2,0,71,189,2023,2038755,0.0093,Integrated Minorities
CZECH REPUBLIC,56,7,0,0,0,0,157,220,2023,2038755,0.0108,Integrated Minorities
CHURCHES,7,3,0,0,0,0,4,14,2023,2038755,0.0007,Integrated Minorities
GYPSY,5829,245,0,8,2,0,40,6124,2023,2038755,0.3004,Integrated Minorities
GYPSY (ROM),384,0,0,2,0,5,6,397,2023,2038755,0.0195,Integrated Minorities
CHILEAN,1,0,0,0,0,0,14,15,2023,2038755,0.0007,Integrated Minorities
CHUKCH,0,2,0,0,0,0,0,2,2023,2038755,0.0001,Integrated Minorities
CHUVASH,116,266,0,0,0,0,134,516,2023,2038755,0.0253,Integrated Minorities
DARGINS,15,5,0,0,0,0,1,21,2023,2038755,0.001,Integrated Minorities
DANE,38,0,0,0,0,0,351,389,2023,2038755,0.0191,Integrated Minorities
DUNGANS,0,0,0,0,0,0,3,3,2023,2038755,0.0001,Integrated Minorities
JEW,5481,1191,0,1,4,6,654,7337,2023,2038755,0.3599,Integrated Minorities
ECUADORIAN,0,0,0,0,0,0,9,9,2023,2038755,0.0004,Integrated Minorities
EVENKS,2,1,0,0,0,0,0,3,2023,2038755,0.0001,Integrated Minorities
EVENS,0,0,0,0,0,0,1,1,2023,2038755,0.0,Integrated Minorities
EGYPTIAN,11,0,0,0,5,2,166,184,2023,2038755,0.009,Integrated Minorities
FARCE,0,0,0,0,0,0,1,1,2023,2038755,0.0,Integrated Minorities
FLEMISH,2,0,0,0,0,0,14,16,2023,2038755,0.0008,Integrated Minorities
FRENCHMAN,56,0,0,0,0,0,796,852,2023,2038755,0.0418,Integrated Minorities
GAGAUZ,34,33,0,0,0,1,14,82,2023,2038755,0.004,Integrated Minorities
GREEK,196,55,0,1,0,4,158,414,2023,2038755,0.0203,Integrated Minorities
GEORGIA,527,259,0,2,1,11,570,1370,2023,2038755,0.0672,Integrated Minorities
HAKASIAN,1,2,0,0,0,0,3,6,2023,2038755,0.0003,Integrated Minorities
HANTS,0,4,0,0,0,0,1,5,2023,2038755,0.0002,Integrated Minorities
HINDUSTAN,2,0,0,0,0,0,0,2,2023,2038755,0.0001,Integrated Minorities
DUTCHMAN,24,2,0,0,0,0,191,217,2023,2038755,0.0106,Integrated Minorities
CROATIA,6,4,0,0,0,0,72,82,2023,2038755,0.004,Integrated Minorities
ESTONIAN,1104,221,0,0,0,1,644,1970,2023,2038755,0.0966,Integrated Minorities
INDIAN,24,0,0,0,0,1,3009,3034,2023,2038755,0.1488,Integrated Minorities
INGUSH,10,8,0,0,0,0,16,34,2023,2038755,0.0017,Integrated Minorities
IRAQI,1,0,5,0,11,0,32,49,2023,2038755,0.0024,Integrated Minorities
IRAN,4,1,5,1,10,0,90,111,2023,2038755,0.0054,Integrated Minorities
ICELANDIC,7,0,0,0,0,0,35,42,2023,2038755,0.0021,Integrated Minorities
ITALIAN,94,1,0,0,0,0,914,1009,2023,2038755,0.0495,Integrated Minorities
IZOR,0,1,0,0,0,0,2,3,2023,2038755,0.0001,Integrated Minorities
IRISH,19,0,0,0,0,0,119,138,2023,2038755,0.0068,Integrated Minorities
YAKUTS,10,7,0,0,0,0,21,38,2023,2038755,0.0019,Integrated Minorities
JAPAN,4,0,0,0,0,1,41,46,2023,2038755,0.0023,Integrated Minorities
NEW ZEALANDER,3,0,0,0,0,0,14,17,2023,2038755,0.0008,Integrated Minorities
YEZID,1,0,0,0,0,0,0,1,2023,2038755,0.0,Integrated Minorities
KABARD,9,8,0,0,0,0,7,24,2023,2038755,0.0012,Integrated Minorities
CALMISH,9,6,0,0,0,0,22,37,2023,2038755,0.0018,Integrated Minorities
CANUCK,10,0,0,0,0,0,83,93,2023,2038755,0.0046,Integrated Minorities
KARAČAYAN,4,2,0,0,0,0,2,8,2023,2038755,0.0004,Integrated Minorities
CHARITY,3,1,0,0,0,0,0,4,2023,2038755,0.0002,Integrated Minorities
KARAKALPAKS,0,0,0,0,0,0,8,8,2023,2038755,0.0004,Integrated Minorities
KAREL,64,71,0,0,0,0,24,159,2023,2038755,0.0078,Integrated Minorities
KAZAKHS,88,73,3,0,1,2,410,577,2023,2038755,0.0283,Integrated Minorities
KYRGYZ,8,5,0,1,2,1,154,171,2023,2038755,0.0084,Integrated Minorities
COLOMBIAN,5,0,0,0,0,0,26,31,2023,2038755,0.0015,Integrated Minorities
COMET,60,91,0,0,0,1,39,191,2023,2038755,0.0094,Integrated Minorities
KOMIET PERMIETIS,16,20,0,0,0,0,8,44,2023,2038755,0.0022,Integrated Minorities
KOREAN,81,41,0,0,0,4,151,277,2023,2038755,0.0136,Integrated Minorities
COSTA RICAN,0,0,0,0,0,0,1,1,2023,2038755,0.0,Integrated Minorities
COSTA RICAN,0,0,0,0,0,0,1,1,2023,2038755,0.0,Integrated Minorities
COSTA RICAN,1,0,0,0,0,0,0,1,2023,2038755,0.0,Integrated Minorities
COSTA RICAN,1,0,0,0,0,0,0,1,2023,2038755,0.0,Integrated Minorities
RUSSIAN,329676,120796,12,91,69,482,40608,491734,2023,2038755,24.1193,Large Historical Minority
CRIMEAN TATAR,3,0,0,0,0,10,7,20,2023,2038755,0.001,Integrated Minorities
KRIMCHAK,1,0,0,0,0,0,0,1,2023,2038755,0.0,Integrated Minorities
CUBAN,14,1,0,0,0,1,27,43,2023,2038755,0.0021,Integrated Minorities
COMIC,9,12,0,0,0,0,10,31,2023,2038755,0.0015,Integrated Minorities
KURDISH,3,0,71,0,14,0,11,99,2023,2038755,0.0049,Integrated Minorities
CHINESE,3,2,0,0,0,1,674,680,2023,2038755,0.0334,Integrated Minorities
LAX,21,17,0,0,0,0,6,44,2023,2038755,0.0022,Integrated Minorities
LATVIAN,1230032,405,0,2,0,27,1127,1231593,2023,2038755,60.4091,Latvians
LAZS,3,0,0,0,0,0,0,3,2023,2038755,0.0001,Integrated Minorities
LEZGIN,81,104,0,1,0,0,58,244,2023,2038755,0.012,Integrated Minorities
LEBANESE,32,3,0,0,5,0,55,95,2023,2038755,0.0047,Integrated Minorities
LITHUANIAN,15674,4337,0,2,0,3,3400,23416,2023,2038755,1.1485,Integrated Minorities
LIVONIAN,146,0,0,0,0,0,0,146,2023,2038755,0.0072,Integrated Minorities
LIVONIAN (LIV),24,0,0,0,0,0,1,25,2023,2038755,0.0012,Integrated Minorities
